English term,Chinese term
Liver distension,肝胀
Liver stuffiness,肝癖
Liver abscess,肝痈
Liver failure,肝衰病
Gallbladder distention,胆胀
Cholecystitis,胆瘅
Cholestasis,胆疸
Cholelithiasis,胆石病
Biliary ascariasis,蛔厥
Tympanites,臌胀病
Alcoholic tympanites,酒臌
Water tympanites,水臌
Qi tympanites,气臌
Blood tympanites,血臌
Parasitic tympanites,虫臌
Spleen system diseases,脾系病
Hiccups,呃逆病
Stomach reflux,反胃病
Dysphagia,噎膈病
Sudden abdominal pain,卒腹痛
Qi stagnation-induced abdominal pain,气腹痛
Abdominal distension,腹胀病
Constipation,便秘病
Splenic constipation,脾约
Diarrhoea,泄泻病
Fulminant diarrhoea,暴泻
Chronic diarrhoea,久泄
Diarrhoea with undigested food,飧泄
Early morning  diarrhoea,五更泻
Dysentery,大瘕泄
Cholera-like disorder,类霍乱
Excessive hunger,食亦
Loss of appetite,厌食病
Food damage,伤食
Hunger-related abdominal pain,饥疝
Fatigue after eating food,谷劳
Gastric pain,胃络痛
Gastric stuffiness,胃痞病
Gastric distension,胃胀病
Stomach prolapse,胃缓
Gastric ulcers,胃疡
Fluid retention in the stomach,胃饮
Gastroliths,胃石病
Acute gastritis,胃瘅
Spleen distension,脾胀
Alcohol-induced masses,酒癖
Spleen heat,脾瘅
Oedema due to spleen deficiency,脾水
Wasting of the spleen,脾消
Diaphragmatic hernia,膈疝
Reflux oesophagitis,食管瘅
Oesophageal achalasia,食管痹
Pancreatic distension,胰胀
Pancreas heat,胰瘅
Pancreatic abscess,胰痈
Irritable bowel pattern,肠郁
Functional intestinal obstruction,肠痹
Intestinal obstruction,肠结
Intestinal abscess,肠痈
Acute haemorrhagic necrotizing enterocolitis,小肠瘅
Iron deficiency anaemia,萎黄病
Lung system diseases,肺系病
Cough due to external contraction,外感咳嗽
Cough due to internal dysfunctions,内伤咳嗽
Fulminant cough,暴咳病
Chronic cough,久咳病
Lung heat,肺瘅
Asthma,哮喘病
Wheezing,哮病
Dyspnoea,喘病
Fulminant wheezing,暴喘
Atrophy of the lung lobes,肺痿
Lung abscess,肺痈
Lung distension,肺胀
Pneumoconiosis,尘肺
Pleural effusion,肺水病
Pulmonary syncope,肺厥
Kidney system disorders,肾系病
Strangury,淋证
Qi strangury,气淋
Heat strangury,热淋
Blood strangury,血淋
Unctuous strangury,膏淋
Fatigue strangury,劳淋
Stone strangury,石淋
Prostate enlargement,精癃
Enuresis,遗尿
Urinary incontinence,小便不固
Profuse urination,尿崩
Urinary retention,癃闭
Kidney water,肾水病
Urinary block and vomiting,关格
Kidney heat,肾瘅
Renal abscess,肾痈
Kidney prolapse,肾垂
Kidney syncope,肾厥
Persistent erection,强中
Genital retraction,缩阴病
Emotional disorders,情志病类
Depression,郁病
Hysteria,脏躁
Low self-esteem,卑惵
"Disorders of qi, blood and bodily fluids",气血津液病类
Deficiency/consumption,虚劳类病
Chronic consumptive conditions,虚损
Darkening of the skin,黑疸
Aplastic anaemia,髓劳
Fever due to internal dysfunctions,内伤发热病
Motion sickness,晕动病
Syncope/fainting,厥脱类病
Syncope,厥病
Qi syncope,气厥
Phlegm syncope,痰厥
Cold syncope,寒厥
Heat syncope,热厥
Over-eating-induced syncope,食厥
Alcoholic syncope,酒厥
Wind syncope,风厥
Flopping syncope,薄厥
Blood syncope,血厥
Hunger syncope,饥厥
Sudden syncope,尸厥
Bleeding disorders,血溢类病
Intestinal wind,肠风
Purpura,紫癜病
Phlegm-fluid disorders,痰饮类病
Phlegm-fluid retention,痰饮
Thoracic fluid retention,支饮
Subcutaneous fluid retention,溢饮
Pleural fluid retention,悬饮
Oedema,水肿类病
Yang oedema,阳水
Yin oedema,阴水
Wind oedema,风水
Skin oedema,皮水
Stony oedema,石水
Generalized oedema,正水
Sweating disorders,汗类病
Spontaneous sweating,自汗
Night sweats,盗汗
Yellow sweating,黄汗
Bloody sweating,血汗
Wasting and thirst disorders,消渴类病
Wasting of the upper jiao,上消
Wasting of the middle jiao,中消
Wasting of the lower jiao,下消
Disorders of different body parts,头身形体病类
Brain diseases,颅脑类病
Wind stroke,中风病
Acute wind stroke,急风病
Deviation of the mouth corner,口僻
Hemiplegia,风痱
Head wind,头风病
Hemilateral head wind,偏头风
True headache,厥头痛
Thunder head wind,雷头风
Facial pain,面风痛
Ringing in the brain,脑鸣
Brain wind,颤病
Cerebral atrophy,脑萎
Thyroid disorders,瘿类病
Goiter,瘿肿
Qi goiter,气瘿
Hyperthyroidism,瘿气
Fleshy goiter,肉瘿
Sinew goiter,筋瘿
Hyperparathyroidism,侠瘿瘤
Thyroiditis,瘿痈
Hypothyroidism,瘿劳
Breast diseases,乳房类病
Acute mastitis,乳痈
Acute septic mastitis,乳发
Breast abscess,乳疽
Mammary duct fistula,乳漏
Breast lumps,乳癖
Breast nodules,乳核
Gynecomastia,乳疬
Nipple eczema,乳头风
Nipple discharge,乳衄
Galactorrhoea,乳泣
Sagging breasts,乳悬
Hernia,疝气
Inguinal hernia,狐疝
Hydrocele testis,水疝
Haematocele,血疝
Varicocele,筋疝
Bi-impediment disorders,痹证类病
Wind-cold-dampness impediment,风寒湿痹
Migratory impediment,行痹
Painful impediment,痛痹
Fixed impediment,着痹
Heat impediment,热痹
Joint impediment,尪痹
Skin impediment,皮痹
Muscle impediment,肉痹
Sinew impediment,筋痹
Vessel impediment,脉痹
Bone impediment,骨痹
Blood impediment,血痹
Sciatica,偏痹
Generalized impediment,周痹
Intractable impediment,顽痹
Joint wind,历节风
Low back impediment,腰痹
Lower back pain due to cold dampness,肾著
Ankylosing spondylitis,大偻
Knee impediment,膝痹
Restless legs pattern,腿风
Heel pain,足跟痹
Leg cramp,转筋
Gout,痛风
Dryness-related impediment,燥痹
Wei-flaccidity disorders,痿证类病
Lower limb weakness and flaccidity,痿躄
Muscle flaccidity,肌痿
Wei-flaccidity,痿痹
Limb flaccidity,筋痿
Bone flaccidity,骨痿
Heart vessel flaccidity,脉痿
Bone lesion,骨蚀
Beriberi,脚气病
Dry beriberi,干脚气
Wet beriberi,湿脚气
Cardiac beriberi,脚气冲心
Xerosis,干燥病
Short stature,侏儒
Obesity,肥胖病
Rough skin condition,糙皮病
Elephant skin-like leg,大脚风
Disorders of the skin and mucous membrane,皮肤粘膜病类
Skin conditions,皮肤类病
Snake-shaped sore,蛇串疮
Yellow-water sore,黄水疮
Warts,疣目
Flat warts,扁瘊
Infectious warts,鼠乳
Thread-like warts,线瘊
Condyloma,臊疣
Perianal condyloma,肛门臊疣
Genital condyloma,外阴臊疣
Tinea,癣
White ringworm,白秃疮
Scalp ringworm,肥疮
Tinea manuum,鹅掌风
Tinea pedis,脚湿气
Tinea pedis,田螺疱
Keratotic tinea pedis,脚蚓
Ringworm of the leg,脚气疮
Tinea corporis,圆癣
Tinea cruris,阴癣
Tinea versicolour,紫白癜风
Collar sore,摄领疮
Eyebrow sore,眉疮
Ear sore,旋耳疮
Urticaria,瘾疹
Snake skin-like tinea,蛇皮癣
White scaling skin,白疕
Acne,痤疮
Allergic purpura,紫癜风
Pemphigus,天疱疮
Fire red sore,火赤疮
Loose skin tinea,松皮癣
Cat’s eye-shaped sore,猫眼疮
Melon vine-like nodules,瓜藤缠
Red butterfly-like sore,红蝴蝶疮
White plaques,白驳风
Hu Huo,狐惑
Chicken eye-shaped skin bump,鸡眼
Callus,胼胝
Ampit odour,狐臭
Lacquer sore,漆疮
Drug-induced dermatitis,药毒
Plaster contact dermatitis,膏药风
Scabies,疥疮
Erysipelas,丹毒
"Erysipelas on the chest, back/low back and hip",内发丹毒
Erysipelas on the head,抱头火丹
Erysipelas of the leg,流火
Sores and ulcers,疮疡类病
Furuncles,疖
Heat boils,暑疖
Headed boils,石疖
Headless boils,软疖
Multiple boils,疖病
Hairline sore,发际疮
Seat sore,坐板疮
Facial boils,颜面部疔疮
Boils on the hand/foot,手足部疔疮
Snake head-like whitlow,蛇头疔
Snake segment-like boils,蛇节疔
Boils on the knuckle,注节疔
Hegu boil,合谷疔
Palmar boil,水白疔
Boils on the sole,足底疔
Red thread-like boil,红丝疔
Necrotic boil,烂疔
Boil toxins entering the zang-fu organs,疔疮走黄
Cutaneous anthrax,疫疔
Abscess,痈
Umbilical abscess,脐痈
Perineal abscess,悬痈
Thigh abscess,股疽
Abscess around Futu,伏兔疽
Knee abscess,膝痈
Abscess around Weizhong,膝弯痈
Paravertebral abscess,黄瓜痈
Cervical abscess,颈痈
Axillary abscess,腋痈
Inguinal abscess,胯腹痈
Acute suppurative lymphadenitis,痰毒
Effusion,发
Abscess in the tonsil,锁喉痈
Gluteal abscess,臀痈
Deep-rooted ulcer,疽
Carbuncle,有头疽
Inward collapse of abscess toxins,疽毒内陷
Headless abscess,无头疽
Suppurative osteomyelitis,附骨疽
Deep multiple abscess,流注
Subcutaneous nodules,痰核
Scrofula,瘰疬
Shank sore,臁疮
Digital gangrene,脱疽
Varicose veins of the leg,青筋腿
Fistula disorders,瘘病
Fistula,瘘管
Sinus,窦道
Bedsores,褥疮
Anorectal diseases,肛肠类病
Haemorrhoid,痔疮
Internal haemorrhoids,内痔
External haemorrhoids,外痔
Mixed haemorrhoids,混合痔
Anal fissure,肛裂
Anorectal abscess,肛痈
Anal abscess,脏毒
Anal fistula,肛漏
Reproductive system diseases,生殖病类
Male genital disorders,男性生殖病
Disorders of the male external genitalia,男性前阴类病
Inflammatory infection of the testis and epididymis,子痈
Tuberculosis of the testicle,子痰
Undescended testis,子隐
Scrotal eczema,肾囊风
Sterility disorders,不育类病
Sperm disorders,精液类病
Cold semen,精冷
Turbid semen,精浊
Nocturnal emissions,遗精
Spermatorrhoea,滑精
Female genital disorders,女性生殖病
Disorders of the female external genitalia,女性前阴疾病
Sleep sex,梦交
Prolapsed uterus,阴挺
Vaginal flatulence,阴吹
Uterine cold,阴冷
Vulvar ulceration,阴疮
Menstrual disorders,月经类病
Early menstrual period,月经先期
Delayed menstrual period,月经后期
Irregular menstrual period,月经先后无定期
Heavy menstruation,月经过多
Scanty menstruation,月经过少
Prolonged menstruation,经期延长
Metrorrhagia and metrostaxis,崩漏
Metrorrhagia,崩中
Metrostaxis,漏下
Bleeding between periods,经间期出血
Amenorrhoea,闭经
Perimenstrual disorders,月经前后诸症
Dysmenorrhea,痛经
Vomiting of blood or nosebleed during menstruation,经行吐衄
Fever during menstruation,经行发热
Dizziness during menstruation,经行眩晕
Headache during menstruation,经行头痛
Breast distension/pain during menstruation,经行乳房胀痛
Generalized pain during menstruation,经行身痛
Insomnia during menstruation,经行失眠
Oral ulceration during menstruation,经行口糜
Wind wheels during menstruation,经行风疹块
Diarrhoea during menstruation,经行泄泻
Puffiness and swelling during menstruation,经行浮肿
Moodiness during menstruation,经行情志异常
Perimenopausal disorders,绝经前后诸症
Disorders of pregnancy and childbirth,胎孕类病
Infertility,不孕
Morning sickness,恶阻
Abdominal pain in pregnancy,胞阻
Habitual miscarriage,滑胎
Slow foetal growth,胎萎不长
Post-term pregnancy,过期不产
Hydramnios during pregnancy,子满
Oedema during pregnancy,子静
Dizziness during pregnancy,子肿
Eclampsia of pregnancy,子痫
Ascending of fetal qi,子晨
Vexation during pregnancy,子烦
Loss of voice during pregnancy,子喑
Cough during pregnancy,子嗽
Stranguria during pregnancy,子淋
Urine retention in pregnancy,妊娠转胞
Skin itching during pregnancy,妊娠瘙痒症
Acute appendicitis during pregnancy,孕痈
Leg cramps during pregnancy,妊娠下肢抽筋
Rubella during pregnancy,妊娠风疹
Herpes simplex during pregnancy,妊娠疱疹
Migraine during pregnancy,妊娠偏头痛
Diabetes during pregnancy,妊娠消渴
Obstetric disorders,产科类病
Difficult delivery,难产
Retained placenta,胞衣不下
Postpartum disorders,产后类病
Postpartum fever,产后发热
Postpartum fainting,产后血晕
Postpartum bleeding,产后血崩
Retention of the lochia,产后恶露不下
Persistent lochia discharge,产后恶露不绝
Lochia disturbing the heart mind,产后恶血冲心
Lochia affecting the stomach,产后恶血冲胃
Lochia affecting the lung,产后恶血冲肺
Postpartum tetanus,产后痊癒
Postpartum abdominal pain,产后腹痛
Postpartum sweating,产后汗病
Postpartum oligogalactia,产后缺乳
Postpartum body ache,产后身痛
Obstetric  fistula,交肠病
Postpartum exhaustion,血风劳
Leucorrhoea,带下痢类
"Profuse, whitish vaginal discharge",白崩
Sexual disorders,房事类病
Premature ejaculation,早泄
Impotence,阳痿
Paediatric disorders,小儿相关病类
Neonatal jaundice,脑黄
Umbilical wind,脐风
Epidemic diseases in children,小儿时令类病
Contagious diseases in children,小儿温疫类病
Roseola infantum,奶麻
Infantile paralysis,小儿软脚瘟
Paediatric bacillary dysentery,小儿疫毒痢
Paediatric diphtheria,小儿白喉
Paediatric smallpox,小儿天花
Neonatal cough,百晬嗽
Paediatric pneumonia,小儿肺风痰喘
Infantile convulsions,小儿惊风
Acute infantile convulsion,急惊风
Chronic infantile convulsion,慢惊风
Chronic spleen wind,慢脾风
Fright seizure,客忤
Night crying,夜啼
Paediatric dementia,小儿痴呆
Drooling in babies,海颓
Infantile malnutrition,疳病
Mild infantile malnutrition,滑气
Mild malnutrition with food stagnation,滑积
Severe infantile malnutrition,干滑
Paediatric indigestion,积滞
Milk accumulation,乳积
Food stagnation,食积
Paediatric poor appetite,小儿厌食
Paediatric parorexia,小儿异食
Paediatric vomiting,小儿呕吐
Paediatric flaccidity,小儿瘰疬
Paediatric frequent urination,小儿尿频
Paediatric enuresis,小儿遗尿
Canker sores,燕口疮
Paediatric tonsillitis,小儿乳蛾
Nappy/diaper rash,小儿湮尻疮
Paediatric erysipelas,小儿赤游丹
Paediatric eczema,奶癣
Hydrocephalus,解颅
Five retardations,五返
Five flaccidities,五软
Eye diseases,眼病类
"Eye disorders involving the eyelid, inner/outer canthus, sclera and iris.",外障类病
Stye,针眼
Blepharitis,眼丹
Phlegm node of the eyelid,胞生痰核
Pricklyash-like sores on the eyelid,模痞
Millet-like sores on the eyelid,粟痞
"Red, wet and ulcerative eyelid",呛痰赤烂
Inflammatory swelling of the eyelid,胞肺如桃
Non-inflammatory oedema of the eyelid,胞虚如球
Cold tears,冷泪
Plenysium,胬肉攀睛
Sudden attack of wind heat on the eye,暴风客热
Epidemic conjunctivitis,天行赤眼
Superficial punctate keratitis,聚星障
Interstitial keratitis,混睛障
"Eye disorders involving the pupil, eyeball, retina or other eye tissues",内障类病
Glaucoma,五风内障
Bluish glaucoma,青风内障
Yellowish glaucoma,黄风内障
Greenish glaucoma,绿风内障
Dark glaucoma,乌风内障
Black glaucoma,黑风内障
Cataract,圆髓内障
Retinopathy pigmentosa,高风内障
Bluish blindness,青盲
Sudden blindness,暴盲
Unclassified eye disorders,眼科杂病类
Night blindness,雀目
Ear disorders,耳痛类
Ear block,耳闭
Sudden deafness,暴聋
Nasal diseases,鼻痛类
Nasal sore,鼻疳
Acute rhinitis,伤风鼻塞
Rhinitis sicca,鼻槁
Allergic rhinitis,鼻鼽
Profuse nasal discharge,鼻渊
Sinusitis,鼻窦痰包
Throat diseases,咽喉痛类
Tonsillitis,乳蛾
Acute tonsillitis,急乳螨
Chronic tonsillitis,慢乳蛾
Stony tonsillitis,石蛾
Throat impediment,喉痹
Acute pharyngitis,急喉痹
Chronic pharyngitis,慢喉痹
Peritonsillar abscess,喉痈
Epiglottic abscess,喉关痈
Posterior pharyngeal abscess,里喉痈
Submandibular abscess,颌下痈
Mandibular abscess,上腭痈
Sudden hoarseness,暴瘖
Chronic hoarseness,久瘖
Acute laryngeal obstruction,急喉风
Uvula haematoma,飞扬喉
Laryngitis,喉咳
Plum pit qi,梅核气
Tuberculosis of the throat,喉癣
Throat cancer,咽喉菌
Tooth and mouth diseases,口齿病类
Dental caries,龋齿
Periodontal abscess,牙痈
Pericoronitis of wisdom tooth,牙咬痈
Gingival recession,牙宣
Dental fistula,牙漏
Dental abscess,齿槽风
Ulcerative gingivitis,牙疳
Acute ulcerative gingivitis,走马牙疳
Mouth ulcer,口疳
Oral erosion,口糜
Wet lips,唇湿
Lip wind,唇风
Lip ulcer,茧唇
Tongue ulceration,舌痈
Lotus tongue,重舌
Tongue-tie,结舌
Sublingual cysts,口舌痰包
Neoplasms and carcinomas,瘤癌病类
Abdominal masses,积聚类病
Tangible masses,积病
Intangible masses,聚病
Masses in the upper abdomen,伏梁
Masses in the liver,肥气
Masses in the spleen,痞气
Stomach masses due to food retention,食瘕
Masses in the lung,肺积
Running piglet,奔豚
Neoplasms,瘤类病
Qi tumour,气瘤
Blood tumour,血瘤
Vascular naevi,血痣
Fleshy tumour,肉瘤
Sinew tumour,筋瘤
Joint tumour,胶瘤
Skin tumour,脂瘤
Cystic tumour,发瘤
Nasal cavity haemangioma,鼻血瘤
Stony masses,石瘕
Ovarian cysts,肠覃
Rocky mass,岩类病
Squamous cell carcinoma,翻花疮
Stony gangrene,石疽
Upper hard nodules,上石疽
Middle hard nodules,中石疽
Lower hard nodules,下石疽
Malignant nodule,恶核
Cervical malignancy with cachexia,失荣
Stony goitre,石瘿
Eczematous carcinoma of nipple,乳疳
Rocky mass in the breast,乳岩
Testicular cancer,子岩
Penile cancer,肾岩翻花
Symptoms for provisional diagnosis,临时诊断用症候类术语
Fever,发热
Convulsion,抽搐
Headache,头痛
Vertigo,眩晕
Unconsciousness,昏迷
Insomnia,失眠
Forgetfulness,健忘
Somnolence,嗜睡
Eye blindness,目盲
Tinnitus,耳鸣
Deafness,耳聋
Nosebleed,鼻衄
Toothache,牙痛
Gum bleeding,齿衄
Loss of voice,失音
Expectoration of blood,咯血
Cough,咳嗽
Panting,气喘
Haemoptysis,咳血
Chest pain,胸痛
Palpitations,心悸
Cardiac pain,心痛
Vomiting,呕吐
Retching,干呕
Projectile vomiting,暴吐
Vomiting of blood,呕血
Stomach ache,胃痛
Gastric upset,嘈杂
Pain in the subcostal region,胁痛
Acid regurgitation,吐酸
Abdominal pain,腹痛
Ascites,腹水
Constipation,便秘
Bloody stools,便血
Lower back pain,腰痛
Bloody urine,尿血
Cloudy urine,尿浊
Joint pain,关节痛
Paralysis,瘫痪
Tremor,震颤
Skin eruptions,出疹
Pruritus,瘙痒
2.6 Body constitution,2.6 体质
Taiyang personality,太阳人
Shaoyang personality,少阳人
Taiyin personality,太阴人
Shaoyin personality,少阴人
Yin-yang harmony personality,阴阳平和人
Wood personality,木形人
Fire personality,火形人
Metal personality,金形人
Earth personality,土形人
Water personality,水形人
3 Treatment principles/ methods and therapies,三、治则、治法与疗法
3.1 Treatment principles,3.1 治则
Treat the tip first in acute conditions,急则治标
Treat the root in remissive stages,缓则治本
Treat both the tip and root,标本兼治
Treat according to time,因时制宜
Treat according to place,因地制宜
Treat according to person,因人制宜
Reinforce healthy qi to eliminate pathogenic factors,扶正祛邪
Reinforce healthy qi to strengthen the body,扶正固本
Eliminate pathogenic factors and reinforce healthy qi,祛邪扶正
Reinforce healthy qi and remove pathogenic factors simultaneously,攻补兼施
Remove pathogenic factors before reinforcing healthy qi,先攻后补
Reinforce healthy qi before removing pathogenic factors,先补后攻
Routine treatment,正治法
Treat cold with heat,寒者热之
Treat heat with cold,热者寒之
Treat deficiency with reinforcement,虚则补之
Treat excess with purgation/reduction,实则泻之
Paradoxical treatment,反治法
Treat false cold with cold,寒因寒用
Treat false heat with heat,热因热用
Treat uncontrolled discharge by unblocking,通因通用
Regulate and balance yin and yang,调理阴阳
Seeking yang from yin,从阴引阳
Seeking yin from yang,从阳引阴
Reinforce the mother  for deficiency pattern,虚者补其母
Reduce the son  for excess pattern,实者泻其子
Same treatment for different diseases,异病同治
Different treatments for same disease,同病异治
Treat the exterior before the interior,先表后里
3.2 Treatment methods,3.2 治法
Exterior-releasing methods,解表法
Release the exterior with pungent-warm,辛温解表
Release the exterior with pungent-cool,辛凉解表
Clear heat with pungent-cool,辛凉清热
Remove pathogenic factors and release the exterior,疏邪解表
Remove wind and promote skin eruption,疏风透疹
Release the exterior and unblock meridians,解表通经
Release the exterior and disperse the lung,解表宣肺
Regulate and harmonize the Ying nutrients and Wei-defence,调和营卫
Eliminate dampness and release the exterior,祛湿解表
Regulate qi and release the exterior,理气解表
Reinforce healthy qi and release the exterior,扶正解表
Supplement qi and release the exterior,益气解表
Emetic methods,涌吐法
Induce vomiting to eliminate phlegm and salivation,涌吐痰涎
Induce vomiting to eliminate wind phlegm,涌吐风痰
Induce vomiting to eliminate retained phlegm and food,涌吐痰食
Induce vomiting to eliminate food retention,涌吐宿食
Induce vomiting to refresh the mind,开关涌吐
Purgative methods,攻下法
Clear heat and promote bowel movements,清热攻下
Promote bowel movements and circulate qi,泻结行滞
Warm yang and dissipate cold,温下实寒
Moisten dryness and promote bowel movements,润燥通便
Benefit qi and promote bowel movements,益气通下
Warm yang and promote bowel movements,温阳通便
Moisten the intestine and clear heat,润肠泄热
Soften hardness and moisten dryness,软坚润燥
Promote bowel movements and expel water,泻下逐水
Urgent purgation to preserve yin,急下存阴
Methods to release both the exterior and interior,表里双解法
Release the exterior and purge the interior,解表攻里
Release the exterior and clear the interior,解表清里
Release the exterior and warm the interior,解表温里
Methods to harmonize and release,和解法
Harmonize and release the exterior and interior,和解表里
Regulate and harmonize the liver and spleen,调和肝脾
Soothe the liver and harmonize the stomach,疏肝和胃
Regulate and harmonize the stomach and intestines,调理肠胃
Regulate and harmonize the spleen and stomach,调理脾胃
Regulate and harmonize qi and blood,调和气血
Regulate qi and harmonize the Ying nutrients,调气和营
Balance and regulate cold and heat,平调寒热
Induce urination and promote bowel movements,分消走泄
Induce vomiting and promoting bladder/bowel movements,分消上下
Release the exterior and clear interior excess,表里分消
Regulate the Chong and Ren,调理冲任
Heat-clearing methods,清热法
Clear heat and reduce fire,清热泻火
Clear heat with pungent cold,辛寒清热
Clear heat and remove toxins,清热解毒
Clear heat and cool blood,清热凉血
Clear heat in the Ying nutrients and cool blood,清营凉血
Clear and reduce stagnant heat,清宣郁热
Clear and reduce deficiency heat,清泻虚热
Clear and reduce interior heat,清泄里热
Clear and reduce heart fire,清心泻火
Clear and reduce lung heat,清热泻肺
Clear and reduce stomach heat,清胃泄热
Clear and reduce spleen heat,清脾泄热
Clear and reduce liver fire,清肝泄火
Clear and reduce gallbladder heat,清泄胆热
Clear heat in the liver and gallbladder,清泻肝胆
Clear heat in the heart and spleen,清心泻脾
Clear heat in the heart and liver,清心泻肝
Clear heat in the heart and lung,清心泻肺
Clear heat in the heart and kidney,清心泻肾
Clear heat in the liver and lung,泻肝清肺
Clear heat in the liver and stomach,泻肝清胃
Clear heat in the lung and stomach,清泻肺胃
Clear and reduce diaphragm heat,清泄膈热
Clear and reduce intestine heat,清泻肠热
Clear and reduce ministerial fire,清泄相火
Clear heat and relieve strangury,清热通淋
Clear heat and quiet the fetus,清热安胎
Clear heat and generate fluids,清热生津
Clear heat and relieve bone-steaming sensation,清热除蒸
Qi-regulating methods,理气法
Regulate qi and resolve stagnation,理气行滞
Soothe the liver and regulate qi,疏肝理气
Soothe the liver and promote bile flow,疏肝利胆
Disperse lung qi,宣肺通气
Circulate qi and harmonize the stomach,行气和胃
Regulate qi and strengthen the spleen,理气健脾
Circulate and down-regulate qi,行气降逆
Regulate qi and resolve masses,理气消痞
Methods to regulate blood,理血法
Circulate blood and transform stasis,活血化瘀
Transform stasis and clear heat,化瘀清热
Circulate blood and resolve stagnation,活血行滞
Circulate blood and resolve masses,活血消积
Eliminate stasis and regenerate blood,祛瘀生新
Circulate and nourish blood,活血养血
Transform stasis and unblock collaterals,祛瘀通络
Transform stasis and drain water retention,化瘀利水
Transform stasis and resolve swelling,化瘀消肿
Circulate blood and relax tendons,活血舒筋
Circulate blood and eliminate wind,活血祛风
Circulate blood and alleviate pain,活血止痛
Transform stasis and stop bleeding,化瘀止血
Unblock meridians and increase lactation,通络下乳
Harmonize meridians,和络
Unblock meridians and relieve itch,通经止痒
Circulate blood and regulate menstruation,活血调经
Harmonize blood and quiet fetus,和血安胎
Transform stasis and induce labour,祛瘀下胎
Transform stasis and unblock brain collaterals,化瘀通脑
Transform stasis and disperse the lung,化瘀宣肺
Transform stasis and soothe the chest,化瘀宽胸
Transform blood stasis and soothe the heart,化瘀宽心
Transform stasis and harmonize the stomach,化瘀和胃
Transform stasis and nourish the stomach,化瘀养胃
Transform stasis and soothe the liver,化瘀疏肝
Transform stasis and nourish the liver,化瘀养肝
Transform stasis and regulate the spleen,化瘀理脾
Dampness-eliminating methods,祛湿法
Repel filth and transform turbidity,辟秽化浊
Drain dampness and transform turbidity,利湿化浊
Disperse dampness,宣散湿邪
Circulate qi and transform dampness,行气化湿
Transform dampness and harmonize the Ying nutrients,化湿和营
Transform dampness and harmonize the middle jiao,化湿和中
Strengthen the spleen and transform dampness,健脾化湿
Induce urination and drain dampness,淡渗分利
Soothe the middle jiao and drain dampness,宽中利湿
Clear heart fire and drain dampness,清心利湿
Clear gallbladder heat and drain dampness,清胆利湿
Dry dampness and circulate qi,燥湿行气
Dry dampness and harmonize the stomach,燥湿和胃
Remove wind and dry dampness,祛风燥湿
Dissipate cold and eliminate dampness,散寒除湿
Clear heat and eliminate dampness,清热祛湿
Clear heat and transform dampness in three jiao,清利三焦
"Clear heat, dry dampness and remove toxins",清热燥湿解毒
Induce urination and resolve oedema,利水消肿
Remove dampness and unblock collaterals,除湿通络
Moistening methods,润燥法
Moisten by mild dispersing,轻宣润燥
Clear heat and moisten dryness,清热润燥
Clear lung heat and moisten dryness,清肺润燥
Nourish yin and moisten dryness,滋阴润燥
Nourish blood and moisten dryness,养血润燥
Moisten dryness and alleviate thirst,润燥止渴
Moisten dryness and stop coughing,润燥止咳
Moisten dryness and remove toxins,润燥解毒
Increase fluids and promote bowel movements,增液通便
Reinforcing methods,补益法
Tonify qi,补气
Tonify heart qi,补益心气
Tonify lung qi,补益肺气
Tonify qi of the spleen and stomach,补益中气
Tonify liver qi,补益肝气
Tonify kidney qi,补益肾气
Tonify the heart and lung,补益心肺
Tonify the spleen and benefit the lung,补脾益肺
Tonify the spleen and kidney,补益脾肾
Tonify qi to prevent collapse,补气固脱
Tonify blood,补血
Tonify blood and nourish the heart,补血养心
Tonify blood and nourish the liver,补血养肝
Tonify blood and prevent collapse,补血固脱
Nourish yin,滋阴
Nourish and supplement heart yin,滋补心阴
Nourish and supplement lung yin,滋补肺阴
Nourish yin and benefit the stomach,滋阴益胃
Nourish and supplement spleen yin,滋补脾阴
Nourish and supplement liver yin,滋补肝阴
Nourish and supplement kidney yin,滋补肾阴
Nourish and supplement the heart and lung,滋补心肺
Nourish yin and clear heat,滋阴清热
Tonify yang and supplement qi,补阳益气
Tonify yang,补阳
Warm and tonify heart yang,温补心阳
Warm and tonify lung yang,温补肺阳
Warm and tonify spleen yang,温补脾阳
Warm and tonify stomach yang,温补胃阳
Warm and tonify liver yang,温补肝阳
Warm and tonify kidney yang,温补肾阳
Warm and tonify the heart and lung,温补心肺
Warm yang and circulate qi,温阳行气
Tonify qi and blood,补益气血
Nourish yin and tonify yang,滋阴补阳
Supplement qi and nourish yin,益气滋阴
Tonify essence and marrow,补益精髓
Tonify the heart and kidney,补益心肾
Nourish yin and tonify blood,滋阴补血
Tonify essence to generate qi,生气于精
Supplement qi and prevent collapse,益气固脱
Warming interior methods,温里法
Resuscitate yang,回阳
Warm yang and dissipate cold,温阳散寒
Warm meridians and dissipate cold,温经散寒
Dissipate cold and alleviate pain,散寒止痛
Clearing summer heat methods,祛暑法
Eliminate summer heat,祛暑清热
Eliminate summer heat and release the exterior,祛暑解表
Clear summer heat and remove toxins,清暑解毒
Clear summer heat and drain dampness,祛暑利湿
Clear summer heat and supplement qi,清暑益气
Clear heart fire and remove summer heat,清心涤暑
Clear summer heat and disperse the lung,清暑宣肺
Removing wind methods,治风法
Dispel external wind,疏散风邪
Soothe the liver and extinguish wind,平肝熄风
